region,year,infant_mortality,region_standard
        Пензенская область,1993,133.0,Пензенская область
        Самарская область,1993,395.0,Самарская область
        Саратовская область,1993,438.0,Саратовская область
        Ульяновская область,1993,201.0,Ульяновская область
        Курганская область,1993,109.0,Курганская область
        Свердловская область,1993,605.0,Свердловская область
        Тюменская область,1993,540.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1993,311.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1993,89.0,Ямало-Ненецкий автономный округ
        Челябинская область,1993,458.0,Челябинская область
        Республика Алтай,1993,19.0,Республика Алтай
        Республика Тыва,1993,105.0,Республика Тыва
        Республика Хакасия,1993,83.0,Республика Хакасия
        Алтайский край,1993,311.0,Алтайский край
        Красноярский край,1993,471.0,Красноярский край
        Иркутская область,1993,502.0,Иркутская область
        Кемеровская область - Кузбасс,1993,508.0,Кемеровская область
        Новосибирская область,1993,311.0,Новосибирская область
        Омская область,1993,269.0,Омская область
        Томская область,1993,137.0,Томская область
        Республика Бурятия,1993,126.0,Республика Бурятия
        Забайкальский край,1993,231.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1993,13.0,Забайкальский край
        Республика Саха (Якутия),1993,183.0,Республика Саха (Якутия)
        Камчатский край,1993,57.0,Камчатский край
        Приморский край,1993,325.0,Приморский край
        Хабаровский край,1993,218.0,Хабаровский край
        Амурская область,1993,136.0,Амурская область
        Магаданская область,1993,39.0,Магаданская область
        Сахалинская область,1993,85.0,Сахалинская область
        Еврейская автономная область,1993,50.0,Еврейская автономная область
        Чукотский автономный округ,1993,22.0,Чукотский автономный округ
        Белгородская область,1994,153.0,Белгородская область
        Брянская область,1994,157.0,Брянская область
        Владимирская область,1994,165.0,Владимирская область
        Воронежская область,1994,194.0,Воронежская область
        Ивановская область,1994,142.0,Ивановская область
        Калужская область,1994,96.0,Калужская область
        Костромская область,1994,83.0,Костромская область
        Курская область,1994,147.0,Курская область
        Липецкая область,1994,108.0,Липецкая область
        Московская область,1994,614.0,Московская область
        Орловская область,1994,71.0,Орловская область
        Рязанская область,1994,117.0,Рязанская область
        Смоленская область,1994,108.0,Смоленская область
        Тамбовская область,1994,99.0,Тамбовская область
        Тверская область,1994,157.0,Тверская область
        Тульская область,1994,181.0,Тульская область
        Ярославская область,1994,126.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1994,1153.0,Москва
        Республика Карелия,1994,61.0,Республика Карелия
        Республика Коми,1994,169.0,Республика Коми
        Архангельская область,1994,156.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1994,6.0,Ненецкий автономный округ
        Вологодская область,1994,161.0,Вологодская область
        Калининградская область,1994,109.0,Калининградская область
        Ленинградская область,1994,89.0,Ленинградская область
        Мурманская область,1994,122.0,Мурманская область
        Новгородская область,1994,79.0,Новгородская область
        Псковская область,1994,83.0,Псковская область
        Город Санкт-Петербург город федерального значения,1994,543.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1994,50.0,Республика Адыгея
        Республика Калмыкия,1994,31.0,Республика Калмыкия
        Краснодарский край,1994,572.0,Краснодарский край
        Астраханская область,1994,140.0,Астраханская область
        Волгоградская область,1994,298.0,Волгоградская область
        Ростовская область,1994,530.0,Ростовская область
        Республика Дагестан,1994,218.0,Республика Дагестан
        Республика Ингушетия,1994,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1994,99.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1994,38.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1994,111.0,Республика Северная Осетия - Алания
        Чеченская Республика,1994,0.0,Чеченская Республика
        Ставропольский край,1994,312.0,Ставропольский край
        Республика Башкортостан,1994,529.0,Республика Башкортостан
        Республика Марий Эл,1994,82.0,Республика Марий Эл
        Республика Мордовия,1994,80.0,Республика Мордовия
        Республика Татарстан (Татарстан),1994,501.0,Республика Татарстан
        Удмуртская Республика,1994,210.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1994,135.0,Чувашская Республика
        Пермский край,1994,392.0,Пермский край
        Кировская область,1994,137.0,Кировская область
        Нижегородская область,1994,368.0,Нижегородская область
        Оренбургская область,1994,258.0,Оренбургская область
        Пензенская область,1994,133.0,Пензенская область
        Самарская область,1994,388.0,Самарская область
        Саратовская область,1994,406.0,Саратовская область
        Ульяновская область,1994,220.0,Ульяновская область
        Курганская область,1994,126.0,Курганская область
        Свердловская область,1994,622.0,Свердловская область
        Тюменская область,1994,444.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1994,244.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1994,82.0,Ямало-Ненецкий автономный округ
        Челябинская область,1994,392.0,Челябинская область
        Республика Алтай,1994,18.0,Республика Алтай
        Республика Тыва,1994,69.0,Республика Тыва
        Республика Хакасия,1994,72.0,Республика Хакасия
        Алтайский край,1994,271.0,Алтайский край
        Красноярский край,1994,440.0,Красноярский край
        Иркутская область,1994,439.0,Иркутская область
        Кемеровская область - Кузбасс,1994,419.0,Кемеровская область
        Новосибирская область,1994,285.0,Новосибирская область
        Омская область,1994,220.0,Омская область
        Томская область,1994,89.0,Томская область
        Республика Бурятия,1994,154.0,Республика Бурятия
        Забайкальский край,1994,261.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1994,16.0,Забайкальский край
        Республика Саха (Якутия),1994,172.0,Республика Саха (Якутия)
        Камчатский край,1994,57.0,Камчатский край
        Приморский край,1994,350.0,Приморский край
        Хабаровский край,1994,230.0,Хабаровский край
        Амурская область,1994,131.0,Амурская область
        Магаданская область,1994,36.0,Магаданская область
        Сахалинская область,1994,100.0,Сахалинская область
        Еврейская автономная область,1994,45.0,Еврейская автономная область
        Чукотский автономный округ,1994,8.0,Чукотский автономный округ
        Белгородская область,1995,131.0,Белгородская область
        Брянская область,1995,125.0,Брянская область
        Владимирская область,1995,146.0,Владимирская область
        Воронежская область,1995,184.0,Воронежская область
