region,year,infant_mortality,region_standard
        Сахалинская область,1991,22.0,Сахалинская область
        Еврейская автономная область,1991,44.0,Еврейская автономная область
        Чукотский автономный округ,1991,21.0,Чукотский автономный округ
        Белгородская область,1992,75.0,Белгородская область
        Брянская область,1992,83.0,Брянская область
        Владимирская область,1992,60.0,Владимирская область
        Воронежская область,1992,156.0,Воронежская область
        Ивановская область,1992,40.0,Ивановская область
        Калужская область,1992,75.0,Калужская область
        Костромская область,1992,49.0,Костромская область
        Курская область,1992,79.0,Курская область
        Липецкая область,1992,78.0,Липецкая область
        Московская область,1992,198.0,Московская область
        Орловская область,1992,71.0,Орловская область
        Рязанская область,1992,56.0,Рязанская область
        Смоленская область,1992,54.0,Смоленская область
        Тамбовская область,1992,83.0,Тамбовская область
        Тверская область,1992,102.0,Тверская область
        Тульская область,1992,49.0,Тульская область
        Ярославская область,1992,53.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1992,0.0,Москва
        Республика Карелия,1992,25.0,Республика Карелия
        Республика Коми,1992,78.0,Республика Коми
        Архангельская область,1992,90.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1992,8.0,Ненецкий автономный округ
        Вологодская область,1992,91.0,Вологодская область
        Калининградская область,1992,50.0,Калининградская область
        Ленинградская область,1992,80.0,Ленинградская область
        Мурманская область,1992,10.0,Мурманская область
        Новгородская область,1992,54.0,Новгородская область
        Псковская область,1992,68.0,Псковская область
        Город Санкт-Петербург город федерального значения,1992,0.0,Санкт-Петербург
        Республика Адыгея (Адыгея),1992,46.0,Республика Адыгея
        Республика Калмыкия,1992,51.0,Республика Калмыкия
        Краснодарский край,1992,481.0,Краснодарский край
        Астраханская область,1992,55.0,Астраханская область
        Волгоградская область,1992,187.0,Волгоградская область
        Ростовская область,1992,333.0,Ростовская область
        Республика Дагестан,1992,645.0,Республика Дагестан
        Республика Ингушетия,1992,0.0,Республика Ингушетия
        Кабардино-Балкарская Республика,1992,102.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,1992,42.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,1992,67.0,Республика Северная Осетия - Алания
        Чеченская Республика,1992,510.0,Чеченская Республика
        Ставропольский край,1992,298.0,Ставропольский край
        Республика Башкортостан,1992,367.0,Республика Башкортостан
        Республика Марий Эл,1992,72.0,Республика Марий Эл
        Республика Мордовия,1992,58.0,Республика Мордовия
        Республика Татарстан (Татарстан),1992,253.0,Республика Татарстан
        Удмуртская Республика,1992,131.0,Удмуртская Республика
        Чувашская Республика - Чувашия,1992,134.0,Чувашская Республика
        Пермский край,1992,231.0,Пермский край
        Кировская область,1992,104.0,Кировская область
        Нижегородская область,1992,150.0,Нижегородская область
        Оренбургская область,1992,205.0,Оренбургская область
        Пензенская область,1992,98.0,Пензенская область
        Самарская область,1992,132.0,Самарская область
        Саратовская область,1992,158.0,Саратовская область
        Ульяновская область,1992,119.0,Ульяновская область
        Курганская область,1992,155.0,Курганская область
        Свердловская область,1992,172.0,Свердловская область
        Тюменская область,1992,217.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),1992,40.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),1992,33.0,Ямало-Ненецкий автономный округ
        Челябинская область,1992,163.0,Челябинская область
        Республика Алтай,1992,66.0,Республика Алтай
        Республика Тыва,1992,147.0,Республика Тыва
        Республика Хакасия,1992,58.0,Республика Хакасия
        Алтайский край,1992,230.0,Алтайский край
        Красноярский край,1992,298.0,Красноярский край
        Иркутская область,1992,217.0,Иркутская область
        Кемеровская область - Кузбасс,1992,113.0,Кемеровская область
        Новосибирская область,1992,193.0,Новосибирская область
        Омская область,1992,196.0,Омская область
        Томская область,1992,69.0,Томская область
        Республика Бурятия,1992,110.0,Республика Бурятия
        Забайкальский край,1992,138.0,Забайкальский край
            Агинский Бурятский округ (Забайкальский край),1992,13.0,Забайкальский край
        Республика Саха (Якутия),1992,188.0,Республика Саха (Якутия)
        Камчатский край,1992,28.0,Камчатский край
        Приморский край,1992,140.0,Приморский край
        Хабаровский край,1992,77.0,Хабаровский край
        Амурская область,1992,106.0,Амурская область
        Магаданская область,1992,11.0,Магаданская область
        Сахалинская область,1992,19.0,Сахалинская область
        Еврейская автономная область,1992,39.0,Еврейская автономная область
        Чукотский автономный округ,1992,25.0,Чукотский автономный округ
        Белгородская область,1993,79.0,Белгородская область
        Брянская область,1993,121.0,Брянская область
        Владимирская область,1993,62.0,Владимирская область
        Воронежская область,1993,149.0,Воронежская область
        Ивановская область,1993,57.0,Ивановская область
        Калужская область,1993,47.0,Калужская область
        Костромская область,1993,60.0,Костромская область
        Курская область,1993,82.0,Курская область
        Липецкая область,1993,107.0,Липецкая область
        Московская область,1993,161.0,Московская область
        Орловская область,1993,61.0,Орловская область
        Рязанская область,1993,62.0,Рязанская область
        Смоленская область,1993,60.0,Смоленская область
        Тамбовская область,1993,100.0,Тамбовская область
        Тверская область,1993,93.0,Тверская область
        Тульская область,1993,78.0,Тульская область
        Ярославская область,1993,47.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,1993,0.0,Москва
        Республика Карелия,1993,28.0,Республика Карелия
        Республика Коми,1993,60.0,Республика Коми
        Архангельская область,1993,94.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),1993,3.0,Ненецкий автономный округ
        Вологодская область,1993,95.0,Вологодская область
        Калининградская область,1993,56.0,Калининградская область
        Ленинградская область,1993,62.0,Ленинградская область
        Мурманская область,1993,13.0,Мурманская область
        Новгородская область,1993,46.0,Новгородская область
        Псковская область,1993,55.0,Псковская область
        Город Санкт-Петербург город федерального значения,1993,0.0,Санкт-Петербург
