region,children_under_16,above_working_age,working_age_population,year,region_standard
            Архангельская область (кроме Ненецкого автономного округа),31.3,8.9,59.8,2019,Архангельская область
        Вологодская область,38.2,3.3,58.5,2019,Вологодская область
        Калининградская область,36.8,6.0,57.1,2019,Калининградская область
        Ленинградская область,0.0,0.0,0.0,2019,Ленинградская область
        Мурманская область,36.9,6.2,56.9,2019,Мурманская область
        Новгородская область,38.8,4.7,56.5,2019,Новгородская область
        Псковская область,38.0,10.1,51.9,2019,Псковская область
        Город Санкт-Петербург город федерального значения,0.0,0.0,0.0,2019,Санкт-Петербург
        Республика Адыгея (Адыгея),37.7,10.8,51.5,2019,Республика Адыгея
        Республика Калмыкия,0.0,0.0,0.0,2019,Республика Калмыкия
        Республика Крым,40.2,7.5,52.3,2019,Республика Крым
        Краснодарский край,41.2,5.2,53.6,2019,Краснодарский край
        Астраханская область,43.4,4.7,51.9,2019,Астраханская область
        Волгоградская область,35.3,4.7,59.9,2019,Волгоградская область
        Ростовская область,39.4,9.8,50.8,2019,Ростовская область
        Город федерального значения Севастополь,45.2,2.1,52.7,2019,Севастополь
        Республика Дагестан,42.1,7.9,50.0,2019,Республика Дагестан
        Республика Ингушетия,37.3,12.3,50.4,2019,Республика Ингушетия
        Кабардино-Балкарская Республика,39.0,9.6,51.4,2019,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,38.3,11.0,50.7,2019,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,34.0,11.2,54.8,2019,Республика Северная Осетия - Алания
        Чеченская Республика,47.8,8.6,43.5,2019,Чеченская Республика
        Ставропольский край,43.6,5.4,51.0,2019,Ставропольский край
        Республика Башкортостан,42.9,6.0,51.1,2019,Республика Башкортостан
        Республика Марий Эл,43.8,3.3,52.9,2019,Республика Марий Эл
        Республика Мордовия,26.8,12.1,61.2,2019,Республика Мордовия
        Республика Татарстан (Татарстан),42.5,7.3,50.2,2019,Республика Татарстан
        Удмуртская Республика,45.2,7.6,47.2,2019,Удмуртская Республика
        Чувашская Республика - Чувашия,35.7,3.9,60.4,2019,Чувашская Республика
        Пермский край,40.9,6.8,52.2,2019,Пермский край
        Кировская область,38.0,3.9,58.1,2019,Кировская область
        Нижегородская область,31.9,9.7,58.5,2019,Нижегородская область
        Оренбургская область,44.0,4.5,51.5,2019,Оренбургская область
        Пензенская область,43.3,7.5,49.3,2019,Пензенская область
        Самарская область,40.5,7.3,52.3,2019,Самарская область
        Саратовская область,41.1,5.6,53.4,2019,Саратовская область
        Ульяновская область,33.0,5.8,61.2,2019,Ульяновская область
        Курганская область,41.6,4.6,53.8,2019,Курганская область
        Свердловская область,42.9,7.2,49.9,2019,Свердловская область
        Тюменская область,45.1,7.0,47.9,2019,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),46.0,7.5,46.5,2019,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),54.1,1.3,44.6,2019,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),43.7,7.4,48.9,2019,Тюменская область
        Челябинская область,42.8,1.0,56.2,2019,Челябинская область
Республика Алтай,48.2,3.2,48.5,2019,Республика Алтай
Республика Тыва,47.2,5.4,47.4,2019,Республика Тыва
Республика Хакасия,37.6,5.7,56.7,2019,Республика Хакасия
Алтайский край,38.7,3.9,57.4,2019,Алтайский край
Красноярский край,40.7,4.8,54.5,2019,Красноярский край
Иркутская область,39.8,7.4,52.8,2019,Иркутская область
Кемеровская область - Кузбасс,39.4,5.9,54.8,2019,Кемеровская область
Новосибирская область,44.5,3.4,52.0,2019,Новосибирская область
Омская область,42.5,5.8,51.7,2019,Омская область
Томская область,40.3,6.9,52.8,2019,Томская область
Республика Бурятия,43.8,3.7,52.5,2019,Республика Бурятия
Забайкальский край,37.9,7.8,54.3,2019,Забайкальский край
Республика Саха (Якутия),46.7,6.9,46.3,2019,Республика Саха (Якутия)
Камчатский край,46.4,0.0,53.6,2019,Камчатский край
Приморский край,41.0,7.7,51.3,2019,Приморский край
Хабаровский край,43.2,13.7,43.2,2019,Хабаровский край
Амурская область,33.9,7.2,58.9,2019,Амурская область
Магаданская область,45.8,0.0,54.2,2019,Магаданская область
Сахалинская область,44.9,12.1,43.0,2019,Сахалинская область
Еврейская автономная область,32.0,10.5,57.5,2019,Еврейская автономная область
Чукотский автономный округ,0.0,0.0,0.0,2019,Чукотский автономный округ
        Брянская область,44.8,3.7,51.6,2020,Брянская область
        Воронежская область,28.5,2.3,69.2,2020,Воронежская область
        Костромская область,39.9,6.6,53.5,2020,Костромская область
        Курская область,34.2,6.5,59.2,2020,Курская область
        Липецкая область,40.0,0.8,59.3,2020,Липецкая область
        Московская область,49.9,5.7,44.4,2020,Московская область
        Орловская область,41.5,8.0,50.5,2020,Орловская область
        Рязанская область,37.0,3.3,59.7,2020,Рязанская область
