year,poverty_percent,region,income_per_capita,real_income,nominal_wage,real_wage,children_percent,elderly_percent,working_age_percent,alcohol_rate,drugs_rate,births,total,18_30,31_40,41_50,51_60,60_,gdp_per_capita,population,infant_mortality_rural,infant_mortality_urban,retail_per_capita,welfare_percent,production_total,dependent_percent,disabled_rate_per_1000,addiction_rate,production_per_capita,poverty_welfare_ratio,birth_rate_per_1000,infant_mortality_rural_rate,infant_mortality_urban_rate,disabled_18_30_rate,disabled_31_40_rate,disabled_41_50_rate,disabled_51_60_rate,disabled_60_plus_rate,log_income_per_capita,log_real_income,log_nominal_wage,log_real_wage,log_gdp_per_capita,log_retail_per_capita,log_production_total,log_production_per_capita,log_births,log_population,log_birth_rate_per_1000,log_total,log_18_30,log_31_40,log_41_50,log_51_60,log_60_,log_disabled_rate_per_1000,log_disabled_18_30_rate,log_disabled_31_40_rate,log_disabled_41_50_rate,log_disabled_51_60_rate,log_disabled_60_plus_rate,log_alcohol_rate,log_drugs_rate,log_addiction_rate,log_infant_mortality_rural,log_infant_mortality_urban,log_infant_mortality_rural_rate,log_infant_mortality_urban_rate,agglo_cluster
2019,13.8,Брянская область,28371.0,100.5,29853.0,104.0,37.5,5.1,57.4,97.35,8.7,10028.0,107221.75,3625.3333333333335,6427.0,9881.833333333334,19292.416666666668,67995.16666666667,332442.8,1360249.0,11.0,26.0,225818.0,20.7,561934168.4,42.6,78.82509011217799,106.05,413.11125271917126,0.6666666666666667,7.372179652401877,1.0969285999202234,2.5927403270841647,2.6651983080548733,4.724870225965981,7.264723836101576,14.183003749068492,49.98729399298707,10.253158022321978,4.620058798481842,10.304074113193185,4.653960350157523,12.714226102235733,12.327489072418976,20.14689526469804,6.02613466409966,9.213236175088207,14.123179064348172,2.1249142630732836,11.582663725252582,8.195977315752973,8.768418726857403,9.198554524258808,9.867519211349254,11.127206610020233,4.37983786747184,1.2988824424845848,1.744819881229841,2.1119963170549174,2.72017662782543,3.93157646429204,4.5885325448350684,2.272125885509337,4.6732960150356915,2.4849066497880004,3.295836866004329,0.7404737026611546,1.2789152336254497,2
2020,13.6,Брянская область,28596.0,96.3,31946.0,102.9,44.8,3.7,51.6,97.35,8.7,9480.0,105172.75,3460.333333333333,6272.583333333333,9699.166666666666,18248.33333333333,67492.33333333333,347204.5,1344132.0,12.0,29.0,225643.0,23.1,566924480.2,48.5,78.24584936598488,106.05,421.77738510801026,0.5887445887445887,7.052878735124229,1.2658227848101269,3.059071729957806,2.5743999349270257,4.6666423634980285,7.215933157358553,13.576295582080723,50.21257832812054,10.261057096201172,4.577798989191959,10.371833558683493,4.6434288981051814,12.75767210265669,12.326713815050091,20.155736662697976,6.046845764173877,9.15704507491796,14.111259753502512,2.0860296343521134,11.563369023434449,8.149409150275762,8.744102974899326,9.179898346474449,9.811883828663047,11.119784106550895,4.3725550374550375,1.2737973116874584,1.734596766584444,2.106075336925995,2.6793966189948084,3.935985172344518,4.5885325448350684,2.272125885509337,4.6732960150356915,2.5649493574615367,3.4011973816621555,0.8179379533737337,1.4009543095305754,2
2015,14.7,Владимирская область,22712.0,99.5,23877.0,91.0,34.8,8.3,56.6,81.7,21.3,16284.0,126131.33333333331,3906.75,6762.75,9457.125,20354.291666666664,85688.58333333333,262945.5,1575507.0,31.0,76.0,139408.0,18.1,412895573.49999994,43.099999999999994,80.05761531578933,103.0,262.0715576001883,0.8121546961325966,10.335720501400502,1.9037091623679687,4.667157946450504,2.479677970329551,4.292427770869948,6.002591546721151,12.919201036026283,54.3879419979304,10.030692726771417,4.61015772749913,10.080712811905334,4.5217885770490405,12.479705868413598,11.845167337634829,19.838705272707333,5.572426077300128,9.697999717710331,14.270088317919669,2.427958846244661,11.74508689934193,8.270717039775581,8.819332748956946,9.15462943944129,9.921096189828114,11.358486549162526,4.395160202013281,1.246939752242923,1.6662770764835808,1.946280301500608,2.6332692564218196,4.014361916596324,4.415219602029645,3.104586678466073,4.6443908991413725,3.4657359027997265,4.343805421853684,1.0659889412473982,1.7346877480626297,2
2016,14.6,Владимирская область,22365.0,92.2,25135.0,99.2,34.8,8.3,56.6,75.7,10.7,15662.0,126131.33333333331,3906.75,6762.75,9457.125,20354.291666666664,85688.58333333333,309713.7,1558052.0,28.0,72.0,143643.0,18.0,451378004.48,43.099999999999994,80.9545081507763,86.4,289.70663654358134,0.8111111111111111,10.052296072274869,1.7877665687651645,4.597114033967565,2.507458030925797,4.34051623437472,6.069839132455143,13.06393603465524,54.99725511942691,10.015297227588134,4.534747721691546,10.132056360495405,4.607168188650764,12.643406830123842,11.875093295348556,19.92781569603876,5.6723146368315245,9.659056522078664,14.258947522805991,2.4026381957246876,11.74508689934193,8.270717039775581,8.819332748956946,9.15462943944129,9.921096189828114,11.358486549162526,4.406164314668569,1.2548915673992411,1.6753223214034405,1.955837726107203,2.643613792770877,4.02530267380932,4.33990170837321,2.4595888418037104,4.470495282661489,3.367295829986474,4.290459441148391,1.0252407622642583,1.7222511138248755,2
2017,13.2,Владимирская область,23554.0,100.9,26975.0,103.6,34.8,8.6,56.6,65.3,12.9,13395.0,131252.16666666666,4288.916666666667,6766.916666666667,9455.416666666666,22562.58333333333,88178.33333333333,325043.1,1539179.0,17.0,59.0,153088.0,24.0,907564711.58,43.4,85.27414073780025,78.2,589.6420829416202,0.5499999999999999,8.70269149981906,1.269130272489735,4.404628592758493,2.786496350760157,4.396445550950648,6.143155972545537,14.658843015226513,57.2891998483174,10.067093391134142,4.623991940228679,10.202702860801582,4.650143551630823,12.691716144414196,11.938774730599494,20.62627543018904,6.381210221328771,9.502711433914095,14.246760365046166,2.2724033212286394,11.784883307146949,8.36402258671397,8.819948588365495,9.154448802408886,10.02409252869634,11.38712789859001,4.457529909361016,1.3314411458211524,1.6857405055354568,1.9661546916541004,2.7510358063024083,4.065416824879992,4.194189897191817,2.631888840136646,4.37197629882038,2.8903717578961645,4.0943445622221,0.8193966182041138,1.687255733236813,2
2018,13.1,Владимирская область,23539.0,96.4,30460.0,109.9,48.9,8.3,42.8,66.5,7.8,12658.0,127306.83333333331,3984.0,6758.583333333333,9347.333333333334,20981.58333333333,86235.33333333333,349856.4,1520057.0,22.0,45.0,164519.0,23.4,1001970523.2,57.2,83.75135493822489,74.3,659.1664149436501,0.5598290598290598,8.327319304473452,1.738031284563122,3.5550639911518407,2.62095434579098,4.446269668396207,6.149330803603637,13.803155627278008,56.73164449315606,10.066456380814268,4.578826210648489,10.324202455851168,4.7086288943563215,12.765280921872597,12.01078742234436,20.725234422210328,6.492491947091567,9.446123703636829,14.234259049989202,2.232947653582828,11.75436331708543,8.290292591224315,8.818716530056498,9.142953353274327,9.9514480075127,11.364846868232148,4.439721733604442,1.286737622526992,1.694930909807916,1.9670187584241443,2.6948403761016544,4.055805454604352,4.212127597878484,2.174751721484161,4.321480134805848,3.1354942159291497,3.828641396489095,1.00723915286494,1.5162395791646883,2
2019,12.6,Владимирская область,25358.0,101.9,33076.0,103.5,34.8,4.8,60.4,71.1,11.8,11158.0,124955.83333333331,3829.5,6798.666666666667,9458.833333333334,19727.0,85141.83333333333,394560.3,1509571.0,15.0,43.0,175251.0,23.4,1093307035.14,39.599999999999994,82.77572458223781,82.89999999999999,724.2501579190379,0.5384615384615384,7.391503943835699,1.3443269403118838,3.853737228894067,2.536813439049902,4.503707786296019,6.265908217191066,13.067951093390109,56.401344046310726,10.140888975597038,4.633757642840004,10.4065934557869,4.6491870714048655,12.885529793762096,12.073980217099905,20.81247291807412,6.586516640745768,9.320001626185702,14.227336724904738,2.1272197587458113,11.735723623309818,8.250750621956875,8.824628870354855,9.154810043849851,9.889794225404126,11.352085517350076,4.428143282732348,1.2632261632992838,1.7054220080690443,1.9831933018985657,2.643899238161999,4.050067718492337,4.278054044290903,2.549445170925571,4.42962561347316,2.772588722239781,3.784189633918261,0.851998341643624,1.5797489708769803,2
2020,12.5,Владимирская область,25922.0,98.0,35240.0,103.0,34.8,8.3,56.6,71.1,11.8,10120.0,121322.08333333331,3722.0833333333335,6672.5,9482.416666666666,18291.25,83153.83333333333,410443.6,1497598.0,10.0,51.0,177680.0,26.0,1162651995.94,43.099999999999994,81.01111468720799,82.89999999999999,776.3445169798571,0.4807692307692308,6.757487656901251,0.9881422924901184,5.039525691699605,2.4853687927823978,4.455468022793834,6.331750354011334,12.2137249114916,55.52480260612883,10.162885884509508,4.59511985013459,10.469965456491996,4.6443908991413725,12.924996241397992,12.087745086647924,20.873969436934654,6.655883645894135,9.222367752188902,14.2193737169702,2.048658526221021,11.70621237636032,8.22230745700479,8.805899738914206,9.15729993819398,9.81423275186146,11.328459610813052,4.406854783044816,1.248573861506724,1.6966184126337966,1.9922142805722705,2.5812560554321355,4.034679526006301,4.278054044290903,2.549445170925571,4.42962561347316,2.3978952727983707,3.951243718581427,0.6872006813722189,1.7983254809989455,2
2015,9.5,Воронежская область,29366.0,101.1,24906.0,89.1,35.6,5.65,57.5,109.1,26.0,25923.98,216965.79166666663,7026.333333333333,11810.583333333332,17798.708333333336,41414.04166666667,138980.54166666666,345566.8,2441337.0,25.0,101.0,198814.0,15.2,461544307.3,41.25,88.8717090949208,135.1,189.0539107464475,0.625,10.618763407100287,0.96435809624911,3.896006708846404,2.878067769149992,4.837752155205665,7.290557728545194,16.96367263784831,56.92804461926668,10.28762687392954,4.625952725170619,10.122904167442703,4.500920164614292,12.752944140275028,12.200130023074497,19.950088616616025,5.247307772684463,10.162962261641306,14.70805680763036,2.4526213264062875,12.287499587017567,8.857562586147024,9.376835967379918,9.78693735037814,10.63139941910856,11.842096409529969,4.498383198902615,1.3553370319514184,1.7643458178146825,2.1151172441514023,2.888351531826776,4.059201630340102,4.701389043728634,3.295836866004329,4.91338990965742,3.258096538021482,4.624972813284271,0.6751655233779061,1.588419915480002,2
2016,9.4,Воронежская область,29284.0,93.6,26335.0,99.1,35.6,5.65,57.5,97.1,20.1,24938.0,216965.79166666663,7026.333333333333,11810.583333333332,17798.708333333336,41414.04166666667,138980.54166666666,354657.9,2422371.0,24.0,96.0,208638.0,15.4,483975466.63,41.25,89.56753183829672,117.2,199.79411354825496,0.6103896103896104,10.2948722553234,0.9623867190632768,3.849546876253107,2.9006016557056427,4.875629428082376,7.347639289495018,17.09649003668995,57.37376383166189,10.284830718523883,4.549657476057832,10.178692103476797,4.6061696863211745,12.7789117614796,12.248360764764154,19.997544776681416,5.302280072389151,10.1241881221992,14.700257783373788,2.4243488400130175,12.287499587017567,8.857562586147024,9.376835967379918,9.78693735037814,10.63139941910856,11.842096409529969,4.506095780588973,1.3611308119308556,1.7708131909863694,2.121978779069025,2.8957179988418797,4.0668665394335655,4.585987366571318,3.0492730404820207,4.772378104971998,3.218875824868201,4.574710978503383,0.6741614462380984,1.578885273008085,2
