year,poverty_percent,region,income_per_capita,real_income,nominal_wage,real_wage,children_percent,elderly_percent,working_age_percent,alcohol_rate,drugs_rate,births,total,18_30,31_40,41_50,51_60,60_,gdp_per_capita,population,infant_mortality_rural,infant_mortality_urban,retail_per_capita,welfare_percent,production_total,dependent_percent,disabled_rate_per_1000,addiction_rate,production_per_capita,poverty_welfare_ratio,birth_rate_per_1000,infant_mortality_rural_rate,infant_mortality_urban_rate,disabled_18_30_rate,disabled_31_40_rate,disabled_41_50_rate,disabled_51_60_rate,disabled_60_plus_rate
2015,9.5,Воронежская область,29366.0,101.1,24906.0,89.1,35.6,5.65,57.5,109.1,26.0,25923.98,216965.7916666667,7026.333333333333,11810.583333333332,17798.708333333336,41414.04166666667,138980.54166666666,345566.8,2441337.0,25.0,101.0,198814.0,15.2,461544307.3,41.25,88.87170909492082,135.1,189.05391074644754,0.625,10.618763407100289,0.96435809624911,3.896006708846404,2.878067769149992,4.837752155205665,7.290557728545194,16.96367263784831,56.92804461926668
2016,9.4,Воронежская область,29284.0,93.6,26335.0,99.1,35.6,5.65,57.5,97.1,20.1,24938.0,216965.7916666667,7026.333333333333,11810.583333333332,17798.708333333336,41414.04166666667,138980.54166666666,354657.9,2422371.0,24.0,96.0,208638.0,15.4,483975466.63,41.25,89.56753183829673,117.19999999999999,199.79411354825498,0.6103896103896104,10.2948722553234,0.9623867190632769,3.8495468762531075,2.9006016557056427,4.875629428082376,7.347639289495018,17.09649003668995,57.37376383166189
2017,9.0,Воронежская область,29498.0,97.4,28007.0,102.8,38.6,5.9,55.6,76.2,23.2,22423.0,219185.75,7519.916666666667,11500.333333333334,17695.75,44546.583333333336,137923.16666666666,374125.7,2397111.0,18.0,90.0,221302.0,22.8,1059099551.4,44.5,91.43746368023842,99.4,441.8233245769595,0.39473684210526316,9.35417675693783,0.8027471792356063,4.013735896178031,3.1370748649798306,4.797580643254874,7.382115388065049,18.583446212266907,57.53724657167176
2018,8.9,Воронежская область,30289.0,100.0,31207.0,108.7,32.6,8.0,59.4,73.4,22.5,21381.99,216893.25,7153.833333333333,11680.0,17566.916666666668,42288.583333333336,138203.91666666666,408140.7,2374461.0,22.0,77.0,236953.0,20.9,1138160311.46,40.6,91.34420401093132,95.9,479.3341779292227,0.42583732057416274,9.004986815955286,1.0289032966529308,3.6011615382852575,3.01282410337897,4.919011093465001,7.398275510386007,17.80976117667687,58.20433212702447
2019,8.9,Воронежская область,32022.0,101.1,33690.0,103.4,45.2,5.4,49.4,86.65,22.85,19643.0,217038.33333333337,6898.833333333333,11941.166666666666,17901.666666666668,40539.5,139757.16666666666,431037.0,2367457.0,7.0,74.0,251882.0,19.0,1281962290.2,50.6,91.67572350134907,109.5,541.4933788448956,0.46842105263157896,8.297088394847298,0.356361044646948,3.767245329124879,2.914026879192878,5.04387900885493,7.561559372215279,17.12364786350924,59.032610377576724
2020,8.5,Воронежская область,32078.0,95.4,36317.0,103.2,28.5,2.3,69.2,86.65,22.85,19161.0,215079.08333333337,6676.5,12030.5,17995.583333333332,38393.0,139983.5,459629.5,2364932.0,12.0,58.0,252416.0,21.6,1436533490.8,30.8,90.94514486392563,109.5,607.4312034341791,0.3935185185185185,8.102135706227495,0.6262721152340692,3.0269818902980012,2.8231255697838247,5.087038443388647,7.609344933948769,16.234293417316014,59.19134249948836
2015,16.0,Ивановская область,22297.0,95.5,21161.0,87.9,33.2,9.5,55.9,105.4,6.4,11761.0,78892.16666666666,2766.375,4602.375,6307.583333333333,12153.958333333334,53086.25,174687.5,1194595.0,16.0,48.0,143349.0,18.1,144210417.68,42.7,66.04093158490254,111.80000000000001,120.71908695415601,0.8839779005524862,9.845177654351474,1.3604285349885215,4.081285604965564,2.3157429923949118,3.852665547737936,5.280101903434497,10.174124563834047,44.438700982341295
2016,14.9,Ивановская область,23676.0,98.5,22144.0,97.6,33.2,9.5,55.9,88.6,3.8,11184.0,78892.16666666666,2766.375,4602.375,6307.583333333333,12153.958333333334,53086.25,200504.4,1178969.0,15.0,51.0,143568.0,28.9,150968857.6,42.7,66.91623500419999,92.39999999999999,128.05159219623246,0.5155709342560554,9.48625451559795,1.3412017167381973,4.560085836909871,2.3464357417370603,3.903728596765479,5.350084127176654,10.308971935083395,45.02768944730523
2017,14.3,Ивановская область,24860.0,100.4,23470.0,102.1,33.2,10.9,55.9,79.4,7.7,9877.0,81616.16666666667,3065.6666666666665,4648.25,6285.083333333333,13162.916666666666,54454.25,208522.0,1161861.0,4.0,31.0,153993.0,28.7,340756974.6,44.1,70.24606787444166,87.10000000000001,293.28549163798425,0.49825783972125437,8.501016903054667,0.4049812696162803,3.1386048395261716,2.638582985973939,4.000693714652614,5.409496775718725,11.329166455080829,46.86812794301556
2018,14.7,Ивановская область,24503.0,94.4,25729.0,106.0,31.2,9.5,59.3,78.5,5.7,9134.0,79432.83333333333,2847.1666666666665,4616.416666666667,6242.75,12428.333333333334,53298.166666666664,230325.5,1144540.0,7.0,28.0,163290.0,27.0,379054439.0,40.7,69.40153540578164,84.2,331.1849642651196,0.5444444444444444,7.980498715641219,0.7663674184366105,3.065469673746442,2.4876078308024763,4.03342536448413,5.454374683278871,10.85880208060298,46.56732544661319
