region,year,grp_per_capita,region_standard
        Республика Мордовия,2008,110877.3,Республика Мордовия
        Республика Татарстан (Татарстан),2008,245628.5,Республика Татарстан
        Удмуртская Республика,2008,158850.7,Удмуртская Республика
        Чувашская Республика - Чувашия,2008,122980.3,Чувашская Республика
        Пермский край,2008,227719.0,Пермский край
        Кировская область,2008,110127.9,Кировская область
        Нижегородская область,2008,175587.1,Нижегородская область
        Оренбургская область,2008,209769.6,Оренбургская область
        Пензенская область,2008,105477.2,Пензенская область
        Самарская область,2008,217089.9,Самарская область
        Саратовская область,2008,126085.9,Саратовская область
        Ульяновская область,2008,114808.0,Ульяновская область
        Курганская область,2008,114237.4,Курганская область
        Свердловская область,2008,213922.3,Свердловская область
        Тюменская область,2008,934229.6,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2008,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2008,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2008,0.0,Тюменская область
        Челябинская область,2008,190565.5,Челябинская область
        Республика Алтай,2008,91713.1,Республика Алтай
        Республика Тыва,2008,78381.0,Республика Тыва
        Республика Хакасия,2008,136023.7,Республика Хакасия
        Алтайский край,2008,106019.5,Алтайский край
        Красноярский край,2008,260318.2,Красноярский край
        Иркутская область,2008,178988.3,Иркутская область
        Кемеровская область - Кузбасс,2008,207286.2,Кемеровская область
        Новосибирская область,2008,171430.3,Новосибирская область
        Омская область,2008,174709.8,Омская область
        Томская область,2008,241911.3,Томская область
        Республика Бурятия,2008,129145.4,Республика Бурятия
        Забайкальский край,2008,126362.1,Забайкальский край
        Республика Саха (Якутия),2008,322922.2,Республика Саха (Якутия)
        Камчатский край,2008,238404.5,Камчатский край
        Приморский край,2008,160416.7,Приморский край
        Хабаровский край,2008,198951.6,Хабаровский край
        Амурская область,2008,156329.6,Амурская область
        Магаданская область,2008,258848.1,Магаданская область
        Сахалинская область,2008,657783.3,Сахалинская область
        Еврейская автономная область,2008,134377.5,Еврейская автономная область
        Чукотский автономный округ,2008,582270.4,Чукотский автономный округ
Российская Федерация,2009,224163.3,
        Белгородская область,2009,199046.1,Белгородская область
        Брянская область,2009,98014.5,Брянская область
        Владимирская область,2009,127815.1,Владимирская область
        Воронежская область,2009,129112.5,Воронежская область
        Ивановская область,2009,81286.7,Ивановская область
        Калужская область,2009,152611.6,Калужская область
        Костромская область,2009,116856.2,Костромская область
        Курская область,2009,141833.5,Курская область
        Липецкая область,2009,192165.2,Липецкая область
        Московская область,2009,217339.7,Московская область
        Орловская область,2009,113848.8,Орловская область
        Рязанская область,2009,131891.2,Рязанская область
        Смоленская область,2009,125743.1,Смоленская область
        Тамбовская область,2009,123512.0,Тамбовская область
        Тверская область,2009,144257.9,Тверская область
        Тульская область,2009,136851.6,Тульская область
        Ярославская область,2009,165757.6,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2009,628930.3,Москва
        Республика Карелия,2009,162649.3,Республика Карелия
        Республика Коми,2009,329967.4,Республика Коми
        Архангельская область,2009,260584.7,Архангельская область
            Ненецкий автономный округ (Архангельская область),2009,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2009,0.0,Архангельская область
        Вологодская область,2009,176179.2,Вологодская область
        Калининградская область,2009,180797.2,Калининградская область
        Ленинградская область,2009,252890.9,Ленинградская область
        Мурманская область,2009,251956.9,Мурманская область
        Новгородская область,2009,183196.9,Новгородская область
        Псковская область,2009,108797.9,Псковская область
        Город Санкт-Петербург город федерального значения,2009,306454.8,Санкт-Петербург
        Республика Адыгея (Адыгея),2009,94436.5,Республика Адыгея
        Республика Калмыкия,2009,82586.8,Республика Калмыкия
        Республика Крым,2009,0.0,Республика Крым
        Краснодарский край,2009,165555.1,Краснодарский край
        Астраханская область,2009,133018.5,Астраханская область
        Волгоградская область,2009,144303.4,Волгоградская область
        Ростовская область,2009,129626.0,Ростовская область
        Город федерального значения Севастополь,2009,0.0,Севастополь
        Республика Дагестан,2009,90542.5,Республика Дагестан
        Республика Ингушетия,2009,46174.4,Республика Ингушетия
        Кабардино-Балкарская Республика,2009,76451.1,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2009,81758.5,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2009,90040.7,Республика Северная Осетия - Алания
        Чеченская Республика,2009,51981.3,Чеченская Республика
        Ставропольский край,2009,99994.7,Ставропольский край
        Республика Башкортостан,2009,159428.7,Республика Башкортостан
        Республика Марий Эл,2009,98888.9,Республика Марий Эл
        Республика Мордовия,2009,107903.3,Республика Мордовия
        Республика Татарстан (Татарстан),2009,234206.4,Республика Татарстан
        Удмуртская Республика,2009,151268.7,Удмуртская Республика
        Чувашская Республика - Чувашия,2009,111300.3,Чувашская Республика
        Пермский край,2009,203364.2,Пермский край
        Кировская область,2009,107680.4,Кировская область
        Нижегородская область,2009,164071.8,Нижегородская область
        Оренбургская область,2009,202332.4,Оренбургская область
        Пензенская область,2009,105487.4,Пензенская область
        Самарская область,2009,181298.2,Самарская область
        Саратовская область,2009,128473.8,Саратовская область
        Ульяновская область,2009,118179.9,Ульяновская область
        Курганская область,2009,117058.7,Курганская область
        Свердловская область,2009,191415.0,Свердловская область
        Тюменская область,2009,852920.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2009,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2009,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2009,0.0,Тюменская область
        Челябинская область,2009,159901.0,Челябинская область
        Республика Алтай,2009,97112.1,Республика Алтай
        Республика Тыва,2009,87889.5,Республика Тыва
        Республика Хакасия,2009,152205.1,Республика Хакасия
        Алтайский край,2009,109088.7,Алтайский край
        Красноярский край,2009,264478.7,Красноярский край
        Иркутская область,2009,187688.7,Иркутская область
        Кемеровская область - Кузбасс,2009,184674.1,Кемеровская область
        Новосибирская область,2009,160210.4,Новосибирская область
        Омская область,2009,169327.8,Омская область
        Томская область,2009,237293.3,Томская область
        Республика Бурятия,2009,125172.5,Республика Бурятия
        Забайкальский край,2009,133973.5,Забайкальский край
        Республика Саха (Якутия),2009,342520.1,Республика Саха (Якутия)
        Камчатский край,2009,291953.6,Камчатский край
        Приморский край,2009,187556.4,Приморский край
        Хабаровский край,2009,205081.0,Хабаровский край
        Амурская область,2009,180572.3,Амурская область
        Магаданская область,2009,299403.8,Магаданская область
        Сахалинская область,2009,779943.2,Сахалинская область
        Еврейская автономная область,2009,142388.0,Еврейская автономная область
        Чукотский автономный округ,2009,872422.0,Чукотский автономный округ
Российская Федерация,2010,263828.6,
        Белгородская область,2010,260015.6,Белгородская область
        Брянская область,2010,114777.6,Брянская область
        Владимирская область,2010,155494.2,Владимирская область
        Воронежская область,2010,148432.6,Воронежская область
        Ивановская область,2010,103280.0,Ивановская область
        Калужская область,2010,186347.8,Калужская область
        Костромская область,2010,146536.9,Костромская область
        Курская область,2010,171322.1,Курская область
        Липецкая область,2010,211610.6,Липецкая область
        Московская область,2010,259421.5,Московская область
        Орловская область,2010,134533.8,Орловская область
        Рязанская область,2010,154844.8,Рязанская область
        Смоленская область,2010,156567.3,Смоленская область
        Тамбовская область,2010,131456.7,Тамбовская область
        Тверская область,2010,161305.0,Тверская область
        Тульская область,2010,152571.7,Тульская область
        Ярославская область,2010,187875.5,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2010,730774.2,Москва
        Республика Карелия,2010,186651.2,Республика Карелия
        Республика Коми,2010,390740.4,Республика Коми
        Архангельская область,2010,302801.3,Архангельская область
            Ненецкий автономный округ (Архангельская область),2010,0.0,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2010,0.0,Архангельская область
        Вологодская область,2010,217826.8,Вологодская область
        Калининградская область,2010,208193.2,Калининградская область
        Ленинградская область,2010,286435.4,Ленинградская область
        Мурманская область,2010,292926.1,Мурманская область
        Новгородская область,2010,200248.6,Новгородская область
        Псковская область,2010,128685.1,Псковская область
        Город Санкт-Петербург город федерального значения,2010,349253.6,Санкт-Петербург
        Республика Адыгея (Адыгея),2010,107297.5,Республика Адыгея
        Республика Калмыкия,2010,84359.4,Республика Калмыкия
        Республика Крым,2010,0.0,Республика Крым
        Краснодарский край,2010,196914.3,Краснодарский край
        Астраханская область,2010,143388.8,Астраханская область
        Волгоградская область,2010,166028.8,Волгоградская область
        Ростовская область,2010,154127.9,Ростовская область
        Город федерального значения Севастополь,2010,0.0,Севастополь
        Республика Дагестан,2010,94883.6,Республика Дагестан
        Республика Ингушетия,2010,48239.2,Республика Ингушетия
        Кабардино-Балкарская Республика,2010,89668.3,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2010,91782.3,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2010,105781.6,Республика Северная Осетия - Алания
        Чеченская Республика,2010,55995.7,Чеченская Республика
        Ставропольский край,2010,118920.6,Ставропольский край
        Республика Башкортостан,2010,186522.0,Республика Башкортостан
        Республика Марий Эл,2010,118110.4,Республика Марий Эл
        Республика Мордовия,2010,125975.5,Республика Мордовия
        Республика Татарстан (Татарстан),2010,264561.7,Республика Татарстан
        Удмуртская Республика,2010,180316.9,Удмуртская Республика
        Чувашская Республика - Чувашия,2010,125843.0,Чувашская Республика
        Пермский край,2010,235930.6,Пермский край
        Кировская область,2010,128073.7,Кировская область
        Нижегородская область,2010,196792.5,Нижегородская область
        Оренбургская область,2010,224937.2,Оренбургская область
        Пензенская область,2010,124020.7,Пензенская область
        Самарская область,2010,216167.6,Самарская область
        Саратовская область,2010,148839.0,Саратовская область
        Ульяновская область,2010,137518.4,Ульяновская область
        Курганская область,2010,129013.4,Курганская область
        Свердловская область,2010,243234.2,Свердловская область
        Тюменская область,2010,973332.6,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2010,0.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2010,0.0,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2010,0.0,Тюменская область
        Челябинская область,2010,187673.7,Челябинская область
        Республика Алтай,2010,108729.5,Республика Алтай
        Республика Тыва,2010,99999.9,Республика Тыва
        Республика Хакасия,2010,180352.1,Республика Хакасия
        Алтайский край,2010,124955.8,Алтайский край
        Красноярский край,2010,372848.1,Красноярский край
        Иркутская область,2010,224364.2,Иркутская область
        Кемеровская область - Кузбасс,2010,226198.1,Кемеровская область
        Новосибирская область,2010,181732.7,Новосибирская область
        Омская область,2010,193216.0,Омская область
        Томская область,2010,272576.5,Томская область
        Республика Бурятия,2010,137564.9,Республика Бурятия
        Забайкальский край,2010,150548.9,Забайкальский край
        Республика Саха (Якутия),2010,403658.5,Республика Саха (Якутия)
        Камчатский край,2010,319849.2,Камчатский край
        Приморский край,2010,240220.7,Приморский край
        Хабаровский край,2010,262685.8,Хабаровский край
        Амурская область,2010,214827.2,Амурская область
        Магаданская область,2010,377895.0,Магаданская область
        Сахалинская область,2010,977256.0,Сахалинская область
        Еврейская автономная область,2010,178380.6,Еврейская автономная область
        Чукотский автономный округ,2010,767845.6,Чукотский автономный округ
Российская Федерация,2011,317515.3,
        Белгородская область,2011,331010.0,Белгородская область
        Брянская область,2011,137187.1,Брянская область
        Владимирская область,2011,181842.6,Владимирская область
        Воронежская область,2011,203575.5,Воронежская область
        Ивановская область,2011,121945.5,Ивановская область
        Калужская область,2011,232722.0,Калужская область
        Костромская область,2011,175626.6,Костромская область
        Курская область,2011,203676.0,Курская область
        Липецкая область,2011,246213.8,Липецкая область
        Московская область,2011,304342.6,Московская область
        Орловская область,2011,167464.9,Орловская область
        Рязанская область,2011,186187.2,Рязанская область
        Смоленская область,2011,184184.9,Смоленская область
        Тамбовская область,2011,159543.0,Тамбовская область
        Тверская область,2011,189484.3,Тверская область
        Тульская область,2011,180866.3,Тульская область
        Ярославская область,2011,225777.7,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2011,859355.1,Москва
        Республика Карелия,2011,241688.0,Республика Карелия
        Республика Коми,2011,487363.5,Республика Коми
        Архангельская область,2011,360165.9,Архангельская область
            Ненецкий автономный округ (Архангельская область),2011,3913588.7,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2011,232540.7,Архангельская область
        Вологодская область,2011,269252.8,Вологодская область
        Калининградская область,2011,255217.8,Калининградская область
        Ленинградская область,2011,336981.3,Ленинградская область
        Мурманская область,2011,333511.6,Мурманская область
        Новгородская область,2011,243031.9,Новгородская область
        Псковская область,2011,150199.9,Псковская область
        Город Санкт-Петербург город федерального значения,2011,424643.7,Санкт-Петербург
        Республика Адыгея (Адыгея),2011,128749.3,Республика Адыгея
        Республика Калмыкия,2011,101873.2,Республика Калмыкия
        Республика Крым,2011,0.0,Республика Крым
        Краснодарский край,2011,236750.6,Краснодарский край
        Астраханская область,2011,170504.7,Астраханская область
        Волгоградская область,2011,195463.7,Волгоградская область
        Ростовская область,2011,179470.3,Ростовская область
        Город федерального значения Севастополь,2011,0.0,Севастополь
        Республика Дагестан,2011,113034.2,Республика Дагестан
        Республика Ингушетия,2011,63569.7,Республика Ингушетия
        Кабардино-Балкарская Республика,2011,105412.7,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2011,103462.3,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2011,120824.3,Республика Северная Осетия - Алания
        Чеченская Республика,2011,67220.5,Чеченская Республика
        Ставропольский край,2011,142409.2,Ставропольский край
        Республика Башкортостан,2011,231314.0,Республика Башкортостан
        Республика Марий Эл,2011,140243.8,Республика Марий Эл
        Республика Мордовия,2011,144636.0,Республика Мордовия
        Республика Татарстан (Татарстан),2011,344092.5,Республика Татарстан
        Удмуртская Республика,2011,221152.7,Удмуртская Республика
        Чувашская Республика - Чувашия,2011,151177.9,Чувашская Республика
        Пермский край,2011,319149.5,Пермский край
        Кировская область,2011,146451.8,Кировская область
        Нижегородская область,2011,233405.3,Нижегородская область
        Оренбургская область,2011,272897.1,Оренбургская область
        Пензенская область,2011,154608.1,Пензенская область
        Самарская область,2011,259480.6,Самарская область
        Саратовская область,2011,171449.8,Саратовская область
        Ульяновская область,2011,173890.3,Ульяновская область
        Курганская область,2011,151046.4,Курганская область
        Свердловская область,2011,300068.8,Свердловская область
        Тюменская область,2011,1198186.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2011,1575300.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2011,1820301.3,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2011,522064.8,Тюменская область
        Челябинская область,2011,222664.2,Челябинская область
        Республика Алтай,2011,127150.1,Республика Алтай
        Республика Тыва,2011,108178.0,Республика Тыва
        Республика Хакасия,2011,212487.7,Республика Хакасия
        Алтайский край,2011,137677.2,Алтайский край
        Красноярский край,2011,413172.4,Красноярский край
        Иркутская область,2011,261550.4,Иркутская область
        Кемеровская область - Кузбасс,2011,272564.2,Кемеровская область
        Новосибирская область,2011,223623.0,Новосибирская область
        Омская область,2011,228486.6,Омская область
        Томская область,2011,317037.4,Томская область
        Республика Бурятия,2011,158136.6,Республика Бурятия
        Забайкальский край,2011,184869.1,Забайкальский край
        Республика Саха (Якутия),2011,508674.4,Республика Саха (Якутия)
        Камчатский край,2011,356413.4,Камчатский край
        Приморский край,2011,281618.3,Приморский край
        Хабаровский край,2011,297609.2,Хабаровский край
        Амурская область,2011,273175.8,Амурская область
        Магаданская область,2011,464112.9,Магаданская область
        Сахалинская область,2011,1210003.9,Сахалинская область
        Еврейская автономная область,2011,225065.5,Еврейская автономная область
        Чукотский автономный округ,2011,883368.7,Чукотский автономный округ
Российская Федерация,2012,348641.5,
        Белгородская область,2012,354570.6,Белгородская область
        Брянская область,2012,164726.6,Брянская область
        Владимирская область,2012,200456.4,Владимирская область
        Воронежская область,2012,241947.4,Воронежская область
        Ивановская область,2012,129448.3,Ивановская область
        Калужская область,2012,283299.9,Калужская область
        Костромская область,2012,198142.5,Костромская область
        Курская область,2012,221537.3,Курская область
        Липецкая область,2012,251960.8,Липецкая область
        Московская область,2012,336650.6,Московская область
        Орловская область,2012,187659.7,Орловская область
        Рязанская область,2012,221430.1,Рязанская область
        Смоленская область,2012,206391.7,Смоленская область
        Тамбовская область,2012,188418.7,Тамбовская область
        Тверская область,2012,200327.2,Тверская область
        Тульская область,2012,202302.5,Тульская область
        Ярославская область,2012,257426.7,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2012,895017.9,Москва
        Республика Карелия,2012,251981.4,Республика Карелия
        Республика Коми,2012,541155.3,Республика Коми
        Архангельская область,2012,391146.2,Архангельская область
            Ненецкий автономный округ (Архангельская область),2012,3685897.1,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2012,270662.9,Архангельская область
        Вологодская область,2012,296726.1,Вологодская область
        Калининградская область,2012,279096.9,Калининградская область
        Ленинградская область,2012,385686.5,Ленинградская область
        Мурманская область,2012,361968.4,Мурманская область
        Новгородская область,2012,271750.9,Новгородская область
        Псковская область,2012,161916.7,Псковская область
        Город Санкт-Петербург город федерального значения,2012,456943.4,Санкт-Петербург
        Республика Адыгея (Адыгея),2012,147262.9,Республика Адыгея
        Республика Калмыкия,2012,125773.9,Республика Калмыкия
        Республика Крым,2012,0.0,Республика Крым
        Краснодарский край,2012,274995.7,Краснодарский край
        Астраханская область,2012,206677.1,Астраханская область
        Волгоградская область,2012,220755.1,Волгоградская область
        Ростовская область,2012,198129.2,Ростовская область
        Город федерального значения Севастополь,2012,0.0,Севастополь
        Республика Дагестан,2012,127528.7,Республика Дагестан
        Республика Ингушетия,2012,85737.9,Республика Ингушетия
        Кабардино-Балкарская Республика,2012,124226.6,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2012,124058.6,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2012,137721.8,Республика Северная Осетия - Алания
        Чеченская Республика,2012,77877.2,Чеченская Республика
        Ставропольский край,2012,154811.0,Ставропольский край
        Республика Башкортостан,2012,282918.4,Республика Башкортостан
        Республика Марий Эл,2012,169514.7,Республика Марий Эл
        Республика Мордовия,2012,163399.0,Республика Мордовия
        Республика Татарстан (Татарстан),2012,376907.1,Республика Татарстан
        Удмуртская Республика,2012,245592.6,Удмуртская Республика
        Чувашская Республика - Чувашия,2012,174925.5,Чувашская Республика
        Пермский край,2012,326782.7,Пермский край
        Кировская область,2012,157541.4,Кировская область
        Нижегородская область,2012,255722.7,Нижегородская область
        Оренбургская область,2012,311189.3,Оренбургская область
        Пензенская область,2012,174823.6,Пензенская область
        Самарская область,2012,291701.5,Самарская область
        Саратовская область,2012,190850.1,Саратовская область
        Ульяновская область,2012,188185.7,Ульяновская область
        Курганская область,2012,163909.9,Курганская область
        Свердловская область,2012,344382.7,Свердловская область
        Тюменская область,2012,1327227.1,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2012,1719109.2,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2012,2209803.4,Ямало-Ненецкий автономный округ
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2012,532020.4,Тюменская область
        Челябинская область,2012,241758.0,Челябинская область
        Республика Алтай,2012,145400.1,Республика Алтай
        Республика Тыва,2012,120582.9,Республика Тыва
        Республика Хакасия,2012,245293.7,Республика Хакасия
        Алтайский край,2012,153556.7,Алтайский край
        Красноярский край,2012,416272.7,Красноярский край
        Иркутская область,2012,304545.5,Иркутская область
        Кемеровская область - Кузбасс,2012,261527.1,Кемеровская область
        Новосибирская область,2012,269870.4,Новосибирская область
        Омская область,2012,248940.0,Омская область
        Томская область,2012,350116.9,Томская область
        Республика Бурятия,2012,169552.9,Республика Бурятия
        Забайкальский край,2012,204112.1,Забайкальский край
        Республика Саха (Якутия),2012,566387.0,Республика Саха (Якутия)
        Камчатский край,2012,397725.9,Камчатский край
        Приморский край,2012,286057.3,Приморский край
        Хабаровский край,2012,326306.5,Хабаровский край
        Амурская область,2012,280023.9,Амурская область
        Магаданская область,2012,511125.4,Магаданская область
        Сахалинская область,2012,1298440.0,Сахалинская область
        Еврейская автономная область,2012,246301.3,Еврейская автономная область
        Чукотский автономный округ,2012,896822.1,Чукотский автономный округ
Российская Федерация,2013,377006.0,
        Белгородская область,2013,368874.8,Белгородская область
        Брянская область,2013,175865.0,Брянская область
        Владимирская область,2013,216320.8,Владимирская область
        Воронежская область,2013,262578.3,Воронежская область
        Ивановская область,2013,151263.6,Ивановская область
        Калужская область,2013,291365.2,Калужская область
        Костромская область,2013,211383.4,Костромская область
        Курская область,2013,242646.1,Курская область
        Липецкая область,2013,271896.2,Липецкая область
        Московская область,2013,359047.3,Московская область
        Орловская область,2013,213218.2,Орловская область
        Рязанская область,2013,244399.3,Рязанская область
        Смоленская область,2013,232503.7,Смоленская область
        Тамбовская область,2013,220392.5,Тамбовская область
        Тверская область,2013,224621.6,Тверская область
        Тульская область,2013,227925.7,Тульская область
        Ярославская область,2013,285331.7,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2013,980986.6,Москва
        Республика Карелия,2013,281021.6,Республика Карелия
        Республика Коми,2013,550386.2,Республика Коми
        Архангельская область,2013,417776.4,Архангельская область
            Ненецкий автономный округ (Архангельская область),2013,4035943.2,Ненецкий автономный округ
            Архангельская область (кроме Ненецкого автономного округа),2013,283264.5,Архангельская область
        Вологодская область,2013,289782.8,Вологодская область
        Калининградская область,2013,287695.4,Калининградская область
        Ленинградская область,2013,386177.6,Ленинградская область
        Мурманская область,2013,395213.7,Мурманская область
        Новгородская область,2013,286501.8,Новгородская область
        Псковская область,2013,174006.5,Псковская область
        Город Санкт-Петербург город федерального значения,2013,490440.5,Санкт-Петербург
        Республика Адыгея (Адыгея),2013,159096.3,Республика Адыгея
        Республика Калмыкия,2013,145420.8,Республика Калмыкия
        Республика Крым,2013,0.0,Республика Крым
        Краснодарский край,2013,309837.7,Краснодарский край
        Астраханская область,2013,269821.7,Астраханская область
        Волгоградская область,2013,235814.1,Волгоградская область
        Ростовская область,2013,215923.2,Ростовская область
        Город федерального значения Севастополь,2013,0.0,Севастополь
        Республика Дагестан,2013,153260.9,Республика Дагестан
