region,year,income_per_capita,real_income,nominal_wage,real_wage,region_standard
Ненецкий автономный округ,2016,71350.0,90.8,71850.0,92.0,Ненецкий автономный округ
Ненецкий автономный округ,2017,73013.0,100.9,74173.0,101.6,Ненецкий автономный округ
Ненецкий автономный округ,2018,78549.0,105.9,82786.0,110.0,Ненецкий автономный округ
Ненецкий автономный округ,2019,81041.0,99.8,88027.0,102.7,Ненецкий автономный округ
Ненецкий автономный округ,2020,84147.0,101.1,92237.0,101.4,Ненецкий автономный округ
Нижегородская область,2015,30003.0,95.8,26481.0,90,Нижегородская область
Нижегородская область,2016,30057.0,94.2,28399.0,101.2,Нижегородская область
Нижегородская область,2017,30326.0,96.4,30387.0,102.6,Нижегородская область
Нижегородская область,2018,31408.0,99.4,32949.0,104.6,Нижегородская область
Нижегородская область,2019,33817.0,102.5,35212.0,102.4,Нижегородская область
Нижегородская область,2020,33645.0,95.2,37601.0,102.8,Нижегородская область
Новгородская область,2015,25631.0,96.5,26346.0,90.8,Новгородская область
Новгородская область,2016,25285.0,91.8,27914.0,99.0,Новгородская область
Новгородская область,2017,25757.0,97.6,29311.0,101.4,Новгородская область
Новгородская область,2018,25292.0,94.2,31462.0,104.0,Новгородская область
Новгородская область,2019,26003.0,97.7,32174.0,98.0,Новгородская область
Новгородская область,2020,26268.0,96.8,34169.0,102.4,Новгородская область
Новосибирская область,2015,25541.0,96.4,28046.0,90.4,Новосибирская область
Новосибирская область,2016,26783.0,99.3,30151.0,101.2,Новосибирская область
Новосибирская область,2017,27698.0,101.0,32287.0,104.1,Новосибирская область
Новосибирская область,2018,28852.0,102.8,35686.0,108.8,Новосибирская область
Новосибирская область,2019,30559.0,101.7,39076.0,105.0,Новосибирская область
Новосибирская область,2020,31563.0,99.8,41534.0,102.9,Новосибирская область
Омская область,2015,25283.0,95.0,27234.0,91.2,Омская область
Омская область,2016,24713.0,92.1,28163.0,97.6,Омская область
Омская область,2017,24707.0,96.9,29751.0,102.9,Омская область
Омская область,2018,25431.0,100.1,32613.0,107.4,Омская область
Омская область,2019,26967.0,100.2,35368.0,103.4,Омская область
Омская область,2020,27354.0,97.3,37828.0,103.7,Омская область
Оренбургская область,2015,22943.0,97.0,24591.0,92,Оренбургская область
Оренбургская область,2016,22145.0,92.0,26209.0,102.0,Оренбургская область
Оренбургская область,2017,22910.0,99.9,27445.0,101.5,Оренбургская область
Оренбургская область,2018,23385.0,99.0,30371.0,108.1,Оренбургская область
Оренбургская область,2019,24483.0,99.9,32883.0,103.9,Оренбургская область
Оренбургская область,2020,24719.0,97.7,35075.0,103.8,Оренбургская область
Орловская область,2015,22104.0,98.9,21772.0,89.3,Орловская область
Орловская область,2016,23006.0,96.0,23127.0,98.6,Орловская область
Орловская область,2017,23979.0,99.7,24811.0,103.5,Орловская область
Орловская область,2018,24895.0,100.5,27476.0,108.2,Орловская область
Орловская область,2019,26064.0,99.1,29683.0,103.2,Орловская область
Орловская область,2020,26843.0,98.6,31862.0,103.7,Орловская область
Пензенская область,2015,21453.0,99.9,23192.0,90.7,Пензенская область
Пензенская область,2016,20628.0,90.6,25337.0,103.4,Пензенская область
Пензенская область,2017,21364.0,100.4,26238.0,101.1,Пензенская область
Пензенская область,2018,21804.0,98.7,28968.0,107.7,Пензенская область
Пензенская область,2019,22969.0,100.1,30765.0,101.9,Пензенская область
Пензенская область,2020,24118.0,100.4,32766.0,102.9,Пензенская область
Пермский край,2015,31606.0,101.3,28528.0,92,Пермский край
Пермский край,2016,27749.0,81.6,30651.0,99.9,Пермский край
Пермский край,2017,28340.0,99.2,32952.0,104.6,Пермский край
Пермский край,2018,28708.0,98.8,35802.0,106.5,Пермский край
Пермский край,2019,30588.0,101.9,39210.0,105.2,Пермский край
Пермский край,2020,30215.0,95.1,41958.0,103.7,Пермский край
"Приволжский
 федеральный округ",2015,26100.0,96.5,25632.0,91,
"Приволжский
 федеральный округ",2016,25615.0,92.5,27265.0,100.5,
"Приволжский
 федеральный округ",2017,25987.0,98.2,29189.0,103.9,
"Приволжский
 федеральный округ",2018,26688.0,99.7,31990.0,106.8,
"Приволжский
 федеральный округ",2019,28268.0,101.2,34592.0,103.7,
"Приволжский
 федеральный округ",2020,28555.0,97.1,36975.0,103.3,
Приморский край,2015,31072.0,97.7,33807.0,90.2,Приморский край
Приморский край,2016,31265.0,94.3,35677.0,99.1,Приморский край
Приморский край,2017,32269.0,99.8,38045.0,103.4,Приморский край
Приморский край,2018,34619.0,103.8,42199.0,107.9,Приморский край
Приморский край,2019,36883.0,101.9,46867.0,106.7,Приморский край
Приморский край,2020,37304.0,96.9,50105.0,103.1,Приморский край
Псковская область,2015,21524.0,92.7,21553.0,87.8,Псковская область
Псковская область,2016,22032.0,95.0,22399.0,97.1,Псковская область
Псковская область,2017,23285.0,101.0,23659.0,101.7,Псковская область
Псковская область,2018,23880.0,98.6,26871.0,110.2,Псковская область
Псковская область,2019,25524.0,101.4,29441.0,104.9,Псковская область
Псковская область,2020,26436.0,99.8,31496.0,103.9,Псковская область
Республика Адыгея,2015,23028.0,91.3,22087.0,91.8,Республика Адыгея
Республика Адыгея,2016,25081.0,102.2,23109.0,97.7,Республика Адыгея
Республика Адыгея,2017,26478.0,101.6,24490.0,101.7,Республика Адыгея
Республика Адыгея,2018,27553.0,102.3,27469.0,110.2,Республика Адыгея
Республика Адыгея,2019,29115.0,102.7,30192.0,105.7,Республика Адыгея
Республика Адыгея,2020,30293.0,101.4,32161.0,102.9,Республика Адыгея
Республика Алтай,2015,17872.0,92.7,22903.0,88.4,Республика Алтай
Республика Алтай,2016,17933.0,95.7,25083.0,103.6,Республика Алтай
Республика Алтай,2017,18584.0,101.9,26316.0,102.5,Республика Алтай
Республика Алтай,2018,19503.0,103.0,30953.0,114.9,Республика Алтай
Республика Алтай,2019,20256.0,101.9,33387.0,105.4,Республика Алтай
Республика Алтай,2020,21677.0,104.5,36269.0,105.5,Республика Алтай
Республика Башкортостан,2015,27320.0,92.9,25928.0,90.9,Республика Башкортостан
Республика Башкортостан,2016,27849.0,96.2,28108.0,102.3,Республика Башкортостан
Республика Башкортостан,2017,28468.0,99.2,30358.0,105.0,Республика Башкортостан
Республика Башкортостан,2018,28967.0,99.3,33753.0,108.7,Республика Башкортостан
Республика Башкортостан,2019,30567.0,100.6,36465.0,103.3,Республика Башкортостан
Республика Башкортостан,2020,30249.0,95.1,38738.0,102.5,Республика Башкортостан
Республика Бурятия,2015,23858.0,101.1,28386.0,89.4,Республика Бурятия
Республика Бурятия,2016,23723.0,94.0,29969.0,99.5,Республика Бурятия
Республика Бурятия,2017,23860.0,97.9,32237.0,104.7,Республика Бурятия
Республика Бурятия,2018,24081.0,97.8,36047.0,108.4,Республика Бурятия
Республика Бурятия,2019,25268.0,99.3,39115.0,102.6,Республика Бурятия
Республика Бурятия,2020,26092.0,98.8,41800.0,102.2,Республика Бурятия
Республика Дагестан,2015,26764.0,98.8,19239.0,90.1,Республика Дагестан
Республика Дагестан,2016,25669.0,91.1,20629.0,101.0,Республика Дагестан
Республика Дагестан,2017,26483.0,100.9,21941.0,103.3,Республика Дагестан
Республика Дагестан,2018,25755.0,96.9,25155.0,113.4,Республика Дагестан
Республика Дагестан,2019,27408.0,102.5,26835.0,102.0,Республика Дагестан
Республика Дагестан,2020,27661.0,97.2,31342.0,111.6,Республика Дагестан
Республика Ингушетия,2015,15191.0,87.9,21481.0,85.1,Республика Ингушетия
Республика Ингушетия,2016,15739.0,100.0,22488.0,99.3,Республика Ингушетия
Республика Ингушетия,2017,15801.0,99.3,22750.0,98.5,Республика Ингушетия
Республика Ингушетия,2018,16163.0,100.9,25367.0,108.1,Республика Ингушетия
Республика Ингушетия,2019,16614.0,101.7,27410.0,104.9,Республика Ингушетия
Республика Ингушетия,2020,16877.0,99.7,29648.0,104.3,Республика Ингушетия
Республика Калмыкия,2015,15276.0,101.4,20109.0,90.2,Республика Калмыкия
Республика Калмыкия,2016,15696.0,96.0,21318.0,99.5,Республика Калмыкия
Республика Калмыкия,2017,16261.0,98.8,22919.0,103.2,Республика Калмыкия
Республика Калмыкия,2018,17082.0,101.3,26049.0,110.6,Республика Калмыкия
Республика Калмыкия,2019,18508.0,102.6,28617.0,104.9,Республика Калмыкия
Республика Калмыкия,2020,19811.0,102.4,32013.0,107.6,Республика Калмыкия
Республика Карелия,2015,25859.0,97.9,30704.0,91.4,Республика Карелия
Республика Карелия,2016,26247.0,94.9,33061.0,101.1,Республика Карелия
Республика Карелия,2017,27473.0,100.7,34434.0,100.8,Республика Карелия
Республика Карелия,2018,29150.0,102.3,39402.0,111.1,Республика Карелия
Республика Карелия,2019,30854.0,100.8,42964.0,104.5,Республика Карелия
Республика Карелия,2020,32583.0,100.8,46501.0,104.1,Республика Карелия
Республика Коми,2015,31221.0,90.9,41365.0,89.2,Республика Коми
Республика Коми,2016,31725.0,94.7,43662.0,99.2,Республика Коми
