region,year,retail_per_capita,region_standard
        Орловская область,2002,18142.0,Орловская область
        Рязанская область,2002,15680.0,Рязанская область
        Смоленская область,2002,21913.0,Смоленская область
        Тамбовская область,2002,16899.0,Тамбовская область
        Тверская область,2002,15157.0,Тверская область
        Тульская область,2002,14115.0,Тульская область
        Ярославская область,2002,15843.0,Ярославская область
        Город Москва столица Российской Федерации город федерального значения,2002,100184.0,Москва
    Северо-Западный федеральный округ,2002,24924.0,
        Республика Карелия,2002,24136.0,Республика Карелия
        Республика Коми,2002,35903.0,Республика Коми
        Архангельская область,2002,21924.0,Архангельская область
            Ненецкий автономный округ (Архангельская область),2002,26254.0,Ненецкий автономный округ
            Архангельская область (без АО),2002,0.0,Архангельская область
            Архангельская область (кроме Ненецкого автономного округа),2002,0.0,Архангельская область
        Вологодская область,2002,17463.0,Вологодская область
        Калининградская область,2002,20586.0,Калининградская область
        Ленинградская область,2002,15961.0,Ленинградская область
        Мурманская область,2002,32493.0,Мурманская область
        Новгородская область,2002,19315.0,Новгородская область
        Псковская область,2002,19996.0,Псковская область
        Город Санкт-Петербург город федерального значения,2002,29814.0,Санкт-Петербург
    Южный федеральный округ (с 2010 года),2002,20582.0,
        Республика Адыгея (Адыгея),2002,12750.0,Республика Адыгея
        Республика Калмыкия,2002,7624.0,Республика Калмыкия
        Краснодарский край,2002,21442.0,Краснодарский край
        Астраханская область,2002,17668.0,Астраханская область
        Волгоградская область,2002,18579.0,Волгоградская область
        Ростовская область,2002,23133.0,Ростовская область
    Северо-Кавказский федеральный округ,2002,13311.0,
        Республика Дагестан,2002,9828.0,Республика Дагестан
        Республика Ингушетия,2002,4235.0,Республика Ингушетия
        Кабардино-Балкарская Республика,2002,13508.0,Кабардино-Балкарская Республика
        Карачаево-Черкесская Республика,2002,12594.0,Карачаево-Черкесская Республика
        Республика Северная Осетия-Алания,2002,12938.0,Республика Северная Осетия - Алания
        Чеченская Республика,2002,0.0,Чеченская Республика
        Ставропольский край,2002,18251.0,Ставропольский край
    Приволжский федеральный округ,2002,19874.0,
        Республика Башкортостан,2002,19986.0,Республика Башкортостан
        Республика Марий Эл,2002,10444.0,Республика Марий Эл
        Республика Мордовия,2002,10751.0,Республика Мордовия
        Республика Татарстан (Татарстан),2002,19730.0,Республика Татарстан
        Удмуртская Республика,2002,14481.0,Удмуртская Республика
        Чувашская Республика - Чувашия,2002,11986.0,Чувашская Республика
        Пермский край,2002,24118.0,Пермский край
"            Коми-Пермяцкий округ, входящий в состав Пермского края",2002,7171.0,
        Кировская область,2002,14635.0,Кировская область
        Нижегородская область,2002,21147.0,Нижегородская область
        Оренбургская область,2002,11914.0,Оренбургская область
        Пензенская область,2002,14345.0,Пензенская область
        Самарская область,2002,39384.0,Самарская область
        Саратовская область,2002,16925.0,Саратовская область
        Ульяновская область,2002,16535.0,Ульяновская область
    Уральский федеральный округ,2002,24104.0,
        Курганская область,2002,14186.0,Курганская область
        Свердловская область,2002,23960.0,Свердловская область
        Тюменская область,2002,33632.0,Тюменская область
            Ханты-Мансийский автономный округ - Югра (Тюменская область),2002,37327.0,Ханты-Мансийский автономный округ
            Ямало-Ненецкий автономный округ (Тюменская область),2002,43664.0,Ямало-Ненецкий автономный округ
            Тюменская область (без АО),2002,0.0,Тюменская область
            Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2002,0.0,Тюменская область
        Челябинская область,2002,18490.0,Челябинская область
    Сибирский федеральный округ,2002,21379.0,
        Республика Алтай,2002,10783.0,Республика Алтай
        Республика Тыва,2002,9529.0,Республика Тыва
